VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,E.V_Type,Electric Range,Base MSRP,Vehicle Location
1FADP5CU7D,Skagit,Anacortes,WA,98221.0,2013,FORD,C-MAX,PHEV,19.0,0.0,POINT (-122.6330168 48.4948674)
5UXKT0C56G,Spokane,Spokane,WA,99201.0,2016,BMW,X5,PHEV,14.0,0.0,POINT (-117.428902 47.658268)
JTJCJMGA7R,Kitsap,Bainbridge Island,WA,98110.0,2024,LEXUS,RX,PHEV,37.0,0.0,POINT (-122.5305071 47.6400595)
5YJ3E1EC6M,Whitman,Pullman,WA,99163.0,2021,TESLA,MODEL 3,BEV,0.0,0.0,POINT (-117.1770648 46.7329687)
1G1FW6S07H,Kitsap,Keyport,WA,98345.0,2017,CHEVROLET,BOLT EV,BEV,238.0,0.0,POINT (-122.6252312 47.7025641)
1C4RJYB64N,Skagit,Anacortes,WA,98221.0,2022,JEEP,GRAND CHEROKEE,PHEV,25.0,0.0,POINT (-122.6330168 48.4948674)
7SAYGDEE9R,Snohomish,Bothell,WA,98012.0,2024,TESLA,MODEL Y,BEV,0.0,0.0,POINT (-122.206146 47.839957)
5YJYGDEE7L,Kitsap,Silverdale,WA,98315.0,2020,TESLA,MODEL Y,BEV,291.0,0.0,POINT (-122.7105032 47.6935812)
5LMYJ8XY4M,Snohomish,Snohomish,WA,98296.0,2021,LINCOLN,AVIATOR,PHEV,21.0,0.0,POINT (-122.121841 47.841036)
1C4RJXN6XR,Whitman,Pullman,WA,99163.0,2024,JEEP,WRANGLER,PHEV,21.0,0.0,POINT (-117.1770648 46.7329687)
KNDPYDDH8R,Kitsap,Poulsbo,WA,98370.0,2024,KIA,SPORTAGE,PHEV,34.0,0.0,POINT (-122.6368884 47.7469547)
3MW39FS08P,Grant,Ephrata,WA,98823.0,2023,BMW,330E,PHEV,20.0,0.0,POINT (-119.5617154 47.3078143)
1FAHP3R47C,Kitsap,Kingston,WA,98346.0,2012,FORD,FOCUS,BEV,76.0,0.0,POINT (-122.5178351 47.7981436)
7SAYGDEF5N,Snohomish,Monroe,WA,98272.0,2022,TESLA,MODEL Y,BEV,0.0,0.0,POINT (-121.968385 47.854897)
